year,indicator_value
2006,80.938
2007,80.26100000000001
2008,82.669
2009,83.852
2010,87.241
2011,88.511
2012,93.159
2013,93.73
2014,92.30000000000001
2015,94.747
2016,93.828
2017,90.766
