year,indicator_value
2017,8645.0
2016,9840.0
2014,11177.0
2011,10708.0
2012,11193.25
2015,10750.0
2010,8526.0
2009,7652.0
2008,7914.0
2013,11484.0
2007,7595.0
2006,7259.0
2005,6648.0
2004,6393.0
2002,5003.0
2003,5708.0
2001,4423.0
2000,4037.0
1999,4111.0
1997,4398.0
1996,4848.0
1998,4192.0
1995,6277.0
1994,6426.0
1993,6163.0
1992,5692.0
1991,5028.0
1990,4615.0
2018,6336.75
2019,5956.58
2020,7248.67
2021,8003.75
2022,7769.25
2023,7527.0
