"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","22,010","±296"
"    Under 6 years:","7,513","±252"
"        Living with two parents:","5,286","±363"
"            Both parents in labor force","3,293","±380"
"            Father only in labor force","1,764","±326"
"            Mother only in labor force","129","±59"
"            Neither parent in labor force","100","±84"
"        Living with one parent:","2,227","±386"
"            Living with father:","444","±208"
"                In labor force","427","±201"
"                Not in labor force","17","±29"
"            Living with mother:","1,783","±351"
"                In labor force","1,146","±264"
"                Not in labor force","637","±279"
"    6 to 17 years:","14,497","±359"
"        Living with two parents:","9,809","±525"
"            Both parents in labor force","6,824","±535"
"            Father only in labor force","2,638","±413"
"            Mother only in labor force","290","±126"
"            Neither parent in labor force","57","±40"
"        Living with one parent:","4,688","±540"
"            Living with father:","1,093","±272"
"                In labor force","868","±248"
"                Not in labor force","225","±152"
"            Living with mother:","3,595","±539"
"                In labor force","2,849","±502"
"                Not in labor force","746","±238"
