"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","21,747","±361"
"    Under 6 years:","7,086","±377"
"        Living with two parents:","4,801","±533"
"            Both parents in labor force","3,418","±524"
"            Father only in labor force","1,150","±299"
"            Mother only in labor force","102","±65"
"            Neither parent in labor force","131","±101"
"        Living with one parent:","2,285","±460"
"            Living with father:","865","±373"
"                In labor force","818","±347"
"                Not in labor force","47","±62"
"            Living with mother:","1,420","±366"
"                In labor force","929","±259"
"                Not in labor force","491","±273"
"    6 to 17 years:","14,661","±342"
"        Living with two parents:","9,176","±679"
"            Both parents in labor force","6,838","±654"
"            Father only in labor force","1,932","±420"
"            Mother only in labor force","260","±162"
"            Neither parent in labor force","146","±77"
"        Living with one parent:","5,485","±648"
"            Living with father:","1,396","±360"
"                In labor force","1,140","±326"
"                Not in labor force","256","±254"
"            Living with mother:","4,089","±529"
"                In labor force","3,436","±525"
"                Not in labor force","653","±211"
