"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","20,692","±339"
"    Under 6 years:","6,650","±335"
"        Living with two parents:","4,884","±374"
"            Both parents in labor force","3,597","±417"
"            Father only in labor force","1,069","±282"
"            Mother only in labor force","129","±92"
"            Neither parent in labor force","89","±63"
"        Living with one parent:","1,766","±378"
"            Living with father:","671","±303"
"                In labor force","646","±296"
"                Not in labor force","25","±38"
"            Living with mother:","1,095","±299"
"                In labor force","765","±234"
"                Not in labor force","330","±177"
"    6 to 17 years:","14,042","±360"
"        Living with two parents:","9,114","±658"
"            Both parents in labor force","7,070","±677"
"            Father only in labor force","1,709","±491"
"            Mother only in labor force","229","±133"
"            Neither parent in labor force","106","±86"
"        Living with one parent:","4,928","±647"
"            Living with father:","1,519","±417"
"                In labor force","1,424","±412"
"                Not in labor force","95","±99"
"            Living with mother:","3,409","±546"
"                In labor force","2,805","±508"
"                Not in labor force","604","±219"
