"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","22,000","±179"
"    Under 6 years:","7,543","±245"
"        Living with two parents:","5,737","±365"
"            Both parents in labor force","2,921","±321"
"            Father only in labor force","2,476","±397"
"            Mother only in labor force","218","±90"
"            Neither parent in labor force","122","±92"
"        Living with one parent:","1,806","±323"
"            Living with father:","353","±157"
"                In labor force","338","±158"
"                Not in labor force","15","±23"
"            Living with mother:","1,453","±289"
"                In labor force","1,004","±268"
"                Not in labor force","449","±178"
"    6 to 17 years:","14,457","±295"
"        Living with two parents:","10,143","±480"
"            Both parents in labor force","6,892","±543"
"            Father only in labor force","2,777","±491"
"            Mother only in labor force","420","±200"
"            Neither parent in labor force","54","±62"
"        Living with one parent:","4,314","±478"
"            Living with father:","955","±224"
"                In labor force","803","±218"
"                Not in labor force","152","±99"
"            Living with mother:","3,359","±458"
"                In labor force","2,670","±453"
"                Not in labor force","689","±245"
