"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","21,611","±387"
"    Under 6 years:","7,057","±245"
"        Living with two parents:","5,270","±430"
"            Both parents in labor force","3,616","±391"
"            Father only in labor force","1,426","±296"
"            Mother only in labor force","131","±100"
"            Neither parent in labor force","97","±85"
"        Living with one parent:","1,787","±371"
"            Living with father:","444","±191"
"                In labor force","416","±189"
"                Not in labor force","28","±34"
"            Living with mother:","1,343","±350"
"                In labor force","867","±243"
"                Not in labor force","476","±243"
"    6 to 17 years:","14,554","±350"
"        Living with two parents:","9,821","±516"
"            Both parents in labor force","6,829","±604"
"            Father only in labor force","2,617","±486"
"            Mother only in labor force","271","±159"
"            Neither parent in labor force","104","±78"
"        Living with one parent:","4,733","±529"
"            Living with father:","1,260","±339"
"                In labor force","975","±277"
"                Not in labor force","285","±201"
"            Living with mother:","3,473","±443"
"                In labor force","2,763","±448"
"                Not in labor force","710","±216"
