"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","20,644","±327"
"    Under 6 years:","6,775","±337"
"        Living with two parents:","4,706","±405"
"            Both parents in labor force","3,433","±406"
"            Father only in labor force","1,041","±284"
"            Mother only in labor force","116","±73"
"            Neither parent in labor force","116","±79"
"        Living with one parent:","2,069","±362"
"            Living with father:","742","±304"
"                In labor force","719","±305"
"                Not in labor force","23","±35"
"            Living with mother:","1,327","±282"
"                In labor force","895","±233"
"                Not in labor force","432","±247"
"    6 to 17 years:","13,869","±365"
"        Living with two parents:","8,843","±638"
"            Both parents in labor force","6,621","±697"
"            Father only in labor force","1,807","±459"
"            Mother only in labor force","283","±126"
"            Neither parent in labor force","132","±95"
"        Living with one parent:","5,026","±637"
"            Living with father:","1,444","±399"
"                In labor force","1,259","±358"
"                Not in labor force","185","±154"
"            Living with mother:","3,582","±501"
"                In labor force","3,114","±457"
"                Not in labor force","468","±229"
