"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","21,056","±326"
"    Under 6 years:","6,603","±397"
"        Living with two parents:","4,719","±439"
"            Both parents in labor force","3,464","±390"
"            Father only in labor force","1,134","±315"
"            Mother only in labor force","100","±102"
"            Neither parent in labor force","21","±32"
"        Living with one parent:","1,884","±405"
"            Living with father:","662","±308"
"                In labor force","638","±308"
"                Not in labor force","24","±27"
"            Living with mother:","1,222","±332"
"                In labor force","919","±290"
"                Not in labor force","303","±172"
"    6 to 17 years:","14,453","±342"
"        Living with two parents:","9,602","±668"
"            Both parents in labor force","7,222","±680"
"            Father only in labor force","2,053","±518"
"            Mother only in labor force","210","±117"
"            Neither parent in labor force","117","±95"
"        Living with one parent:","4,851","±707"
"            Living with father:","1,376","±359"
"                In labor force","1,182","±333"
"                Not in labor force","194","±145"
"            Living with mother:","3,475","±598"
"                In labor force","2,962","±536"
"                Not in labor force","513","±244"
