"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","21,889","±257"
"    Under 6 years:","7,582","±259"
"        Living with two parents:","5,485","±373"
"            Both parents in labor force","3,186","±338"
"            Father only in labor force","1,999","±352"
"            Mother only in labor force","182","±88"
"            Neither parent in labor force","118","±94"
"        Living with one parent:","2,097","±357"
"            Living with father:","439","±182"
"                In labor force","408","±175"
"                Not in labor force","31","±35"
"            Living with mother:","1,658","±332"
"                In labor force","1,111","±283"
"                Not in labor force","547","±225"
"    6 to 17 years:","14,307","±265"
"        Living with two parents:","9,573","±513"
"            Both parents in labor force","6,584","±535"
"            Father only in labor force","2,614","±377"
"            Mother only in labor force","316","±170"
"            Neither parent in labor force","59","±46"
"        Living with one parent:","4,734","±511"
"            Living with father:","1,150","±311"
"                In labor force","962","±289"
"                Not in labor force","188","±106"
"            Living with mother:","3,584","±533"
"                In labor force","2,777","±425"
"                Not in labor force","807","±258"
