"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","21,841","±281"
"    Under 6 years:","7,499","±256"
"        Living with two parents:","5,369","±361"
"            Both parents in labor force","3,542","±433"
"            Father only in labor force","1,553","±281"
"            Mother only in labor force","175","±107"
"            Neither parent in labor force","99","±91"
"        Living with one parent:","2,130","±332"
"            Living with father:","429","±197"
"                In labor force","403","±192"
"                Not in labor force","26","±37"
"            Living with mother:","1,701","±361"
"                In labor force","1,122","±310"
"                Not in labor force","579","±281"
"    6 to 17 years:","14,342","±304"
"        Living with two parents:","9,618","±563"
"            Both parents in labor force","6,653","±630"
"            Father only in labor force","2,637","±443"
"            Mother only in labor force","253","±134"
"            Neither parent in labor force","75","±53"
"        Living with one parent:","4,724","±609"
"            Living with father:","1,270","±304"
"                In labor force","1,016","±208"
"                Not in labor force","254","±187"
"            Living with mother:","3,454","±561"
"                In labor force","2,795","±491"
"                Not in labor force","659","±222"
