"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","22,139","±197"
"    Under 6 years:","7,725","±290"
"        Living with two parents:","5,569","±367"
"            Both parents in labor force","3,073","±398"
"            Father only in labor force","2,234","±353"
"            Mother only in labor force","156","±72"
"            Neither parent in labor force","106","±91"
"        Living with one parent:","2,156","±287"
"            Living with father:","380","±169"
"                In labor force","366","±168"
"                Not in labor force","14","±23"
"            Living with mother:","1,776","±272"
"                In labor force","1,223","±239"
"                Not in labor force","553","±195"
"    6 to 17 years:","14,414","±338"
"        Living with two parents:","9,523","±510"
"            Both parents in labor force","6,877","±609"
"            Father only in labor force","2,132","±383"
"            Mother only in labor force","418","±198"
"            Neither parent in labor force","96","±86"
"        Living with one parent:","4,891","±555"
"            Living with father:","1,226","±299"
"                In labor force","1,071","±261"
"                Not in labor force","155","±103"
"            Living with mother:","3,665","±532"
"                In labor force","2,971","±498"
"                Not in labor force","694","±250"
