"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","21,947","±273"
"    Under 6 years:","7,605","±275"
"        Living with two parents:","5,641","±332"
"            Both parents in labor force","3,088","±385"
"            Father only in labor force","2,264","±345"
"            Mother only in labor force","179","±77"
"            Neither parent in labor force","110","±100"
"        Living with one parent:","1,964","±287"
"            Living with father:","424","±177"
"                In labor force","407","±176"
"                Not in labor force","17","±26"
"            Living with mother:","1,540","±260"
"                In labor force","1,099","±244"
"                Not in labor force","441","±181"
"    6 to 17 years:","14,342","±344"
"        Living with two parents:","9,572","±459"
"            Both parents in labor force","6,721","±477"
"            Father only in labor force","2,487","±455"
"            Mother only in labor force","274","±142"
"            Neither parent in labor force","90","±78"
"        Living with one parent:","4,770","±500"
"            Living with father:","1,146","±272"
"                In labor force","987","±262"
"                Not in labor force","159","±91"
"            Living with mother:","3,624","±497"
"                In labor force","2,913","±449"
"                Not in labor force","711","±268"
