file_name,file_path,extension,file_size_kb,parent_folder,inferred_topic,data_stage,row_count,column_count,column_names,sheet_names,top_level_keys,duplicate_locations,notes
ACSST5Y2021.S1903-Table-Notes.txt,data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2021.S1903-Table-Notes.txt,txt,5.98,data/raw/acs/reference_repo/S1903_Median_Income,demographics,raw_source,,,,,,,documentation or metadata text file
ACSST5Y2022.S1903-Column-Metadata.csv,data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2022.S1903-Column-Metadata.csv,csv,29.17,data/raw/acs/reference_repo/S1903_Median_Income,demographics,raw_source,241,2,GEO_ID; Geography,,,,csv encoding=utf-8-sig
ACSST5Y2022.S1903-Data.csv,data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2022.S1903-Data.csv,csv,80.53,data/raw/acs/reference_repo/S1903_Median_Income,demographics,raw_source,34,243,"Geography; Geographic Area Name; Estimate!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households; Margin of Error!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households; Estimate!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!White; Margin of Error!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!White; Estimate!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Black or African American; Margin of Error!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Black or African American; Estimate!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!American Indian and Alaska Native; Margin of Error!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!American Indian and Alaska Native; Estimate!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Asian; Margin of Error!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Asian; Estimate!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Native Hawaiian and Other Pacific Islander; Margin of Error!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Native Hawaiian and Other Pacific Islander; Estimate!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Some other race; Margin of Error!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Some other race; Estimate!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!Two or more races; Margin of Error!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!Two or more races; Estimate!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!Hispanic or Latino origin (of any race); Margin of Error!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!Hispanic or Latino origin (of any race); Estimate!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!White alone, not Hispanic or Latino; Margin of Error!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!White alone, not Hispanic or Latino; Estimate!!Number!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years; Margin of Error!!Number!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years; Estimate!!Number!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years; ...",,,,csv encoding=utf-8-sig
ACSST5Y2022.S1903-Table-Notes.txt,data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2022.S1903-Table-Notes.txt,txt,5.92,data/raw/acs/reference_repo/S1903_Median_Income,demographics,raw_source,,,,,,,documentation or metadata text file
ACSST5Y2023.S1903-Column-Metadata.csv,data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2023.S1903-Column-Metadata.csv,csv,29.17,data/raw/acs/reference_repo/S1903_Median_Income,demographics,raw_source,241,2,GEO_ID; Geography,,,,csv encoding=utf-8-sig
ACSST5Y2023.S1903-Data.csv,data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2023.S1903-Data.csv,csv,80.47,data/raw/acs/reference_repo/S1903_Median_Income,demographics,raw_source,34,243,"Geography; Geographic Area Name; Estimate!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households; Margin of Error!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households; Estimate!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!White; Margin of Error!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!White; Estimate!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Black or African American; Margin of Error!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Black or African American; Estimate!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!American Indian and Alaska Native; Margin of Error!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!American Indian and Alaska Native; Estimate!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Asian; Margin of Error!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Asian; Estimate!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Native Hawaiian and Other Pacific Islander; Margin of Error!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Native Hawaiian and Other Pacific Islander; Estimate!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Some other race; Margin of Error!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Some other race; Estimate!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!Two or more races; Margin of Error!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!Two or more races; Estimate!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!Hispanic or Latino origin (of any race); Margin of Error!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!Hispanic or Latino origin (of any race); Estimate!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!White alone, not Hispanic or Latino; Margin of Error!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!White alone, not Hispanic or Latino; Estimate!!Number!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years; Margin of Error!!Number!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years; Estimate!!Number!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years; ...",,,,csv encoding=utf-8-sig
ACSST5Y2023.S1903-Table-Notes.txt,data/raw/acs/reference_repo/S1903_Median_Income/ACSST5Y2023.S1903-Table-Notes.txt,txt,6.0,data/raw/acs/reference_repo/S1903_Median_Income,demographics,raw_source,,,,,,,documentation or metadata text file
ACSST5Y2010.S2201-Column-Metadata.csv,data/raw/acs/reference_repo/S2201_SNAP_Food_Stamps/ACSST5Y2010.S2201-Column-Metadata.csv,csv,14.47,data/raw/acs/reference_repo/S2201_SNAP_Food_Stamps,demographics,raw_source,127,2,GEO_ID; Geography,,,,csv encoding=utf-8-sig
ACSST5Y2010.S2201-Data.csv,data/raw/acs/reference_repo/S2201_SNAP_Food_Stamps/ACSST5Y2010.S2201-Data.csv,csv,42.62,data/raw/acs/reference_repo/S2201_SNAP_Food_Stamps,demographics,raw_source,32,129,Geography; Geographic Area Name; Total!!Estimate!!Households; Total!!Margin of Error!!Households; Households receiving food stamps!!Estimate!!Households; Households receiving food stamps!!Margin of Error!!Households; Households not receiving food stamps!!Estimate!!Households; Households not receiving food stamps!!Margin of Error!!Households; Total!!Estimate!!With one or more people 60 years and over; Total!!Margin of Error!!With one or more people 60 years and over; Households receiving food stamps!!Estimate!!With one or more people 60 years and over; Households receiving food stamps!!Margin of Error!!With one or more people 60 years and over; Households not receiving food stamps!!Estimate!!With one or more people 60 years and over; Households not receiving food stamps!!Margin of Error!!With one or more people 60 years and over; Total!!Estimate!!With children under 18 years; Total!!Margin of Error!!With children under 18 years; Households receiving food stamps!!Estimate!!With children under 18 years; Households receiving food stamps!!Margin of Error!!With children under 18 years; Households not receiving food stamps!!Estimate!!With children under 18 years; Households not receiving food stamps!!Margin of Error!!With children under 18 years; Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level; Total!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level; Households receiving food stamps!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level; Households receiving food stamps!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level; Households not receiving food stamps!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level; ...,,,,csv encoding=utf-8-sig
ACSST5Y2010.S2201-Table-Notes.txt,data/raw/acs/reference_repo/S2201_SNAP_Food_Stamps/ACSST5Y2010.S2201-Table-Notes.txt,txt,5.27,data/raw/acs/reference_repo/S2201_SNAP_Food_Stamps,demographics,raw_source,,,,,,,documentation or metadata text file
