year,indicator_value,indicator_unit,data_topic,indicator_name,source_file,etl_processed_at,value_type,verified,county_fips,county_name,notes
2012,11193.25,count,food_access,snap_monthly_avg_food_access,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.372400+00:00,service_count,True,18105,Monroe County,Food access proxy derived from verified SNAP monthly average participation. Does not measure total food insecurity.
2013,11484.0,count,food_access,snap_monthly_avg_food_access,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.372400+00:00,service_count,True,18105,Monroe County,Food access proxy derived from verified SNAP monthly average participation. Does not measure total food insecurity.
2014,11177.0,count,food_access,snap_monthly_avg_food_access,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.372400+00:00,service_count,True,18105,Monroe County,Food access proxy derived from verified SNAP monthly average participation. Does not measure total food insecurity.
2015,10750.0,count,food_access,snap_monthly_avg_food_access,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.372400+00:00,service_count,True,18105,Monroe County,Food access proxy derived from verified SNAP monthly average participation. Does not measure total food insecurity.
2016,9840.0,count,food_access,snap_monthly_avg_food_access,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.372400+00:00,service_count,True,18105,Monroe County,Food access proxy derived from verified SNAP monthly average participation. Does not measure total food insecurity.
2017,8645.0,count,food_access,snap_monthly_avg_food_access,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.372400+00:00,service_count,True,18105,Monroe County,Food access proxy derived from verified SNAP monthly average participation. Does not measure total food insecurity.
2018,6336.75,count,food_access,snap_monthly_avg_food_access,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.372400+00:00,service_count,True,18105,Monroe County,Food access proxy derived from verified SNAP monthly average participation. Does not measure total food insecurity.
2019,5956.58,count,food_access,snap_monthly_avg_food_access,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.372400+00:00,service_count,True,18105,Monroe County,Food access proxy derived from verified SNAP monthly average participation. Does not measure total food insecurity.
2020,7248.67,count,food_access,snap_monthly_avg_food_access,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.372400+00:00,service_count,True,18105,Monroe County,Food access proxy derived from verified SNAP monthly average participation. Does not measure total food insecurity.
2021,8003.75,count,food_access,snap_monthly_avg_food_access,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.372400+00:00,service_count,True,18105,Monroe County,Food access proxy derived from verified SNAP monthly average participation. Does not measure total food insecurity.
2022,7769.25,count,food_access,snap_monthly_avg_food_access,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.372400+00:00,service_count,True,18105,Monroe County,Food access proxy derived from verified SNAP monthly average participation. Does not measure total food insecurity.
2023,7527.0,count,food_access,snap_monthly_avg_food_access,data/raw/social_services/reference_repo/Monthly average number of persons issued food stamps (SNAP).xlsx,2026-06-13T22:00:49.372400+00:00,service_count,True,18105,Monroe County,Food access proxy derived from verified SNAP monthly average participation. Does not measure total food insecurity.
