"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","6,586","±648"
"    For rent","1,939","±521"
"    Rented, not occupied","692","±305"
"    For sale only","441","±220"
"    Sold, not occupied","17","±33"
"    For seasonal, recreational, or occasional use","1,009","±245"
"    For migrant workers","0","±30"
"    Other vacant","2,488","±385"
