"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","43,626","±409"
"    With own children of the householder under 18 years:","11,518","±620"
"        Under 6 years only:","2,732","±370"
"            In labor force:","2,081","±371"
"                In Armed Forces","0","±29"
"                Civilian:","2,081","±371"
"                    Employed","2,033","±384"
"                    Unemployed","48","±49"
"            Not in labor force","651","±179"
"        Under 6 years and 6 to 17 years:","1,925","±316"
"            In labor force:","1,417","±286"
"                In Armed Forces","0","±29"
"                Civilian:","1,417","±286"
"                    Employed","1,338","±277"
"                    Unemployed","79","±90"
"            Not in labor force","508","±154"
"        6 to 17 years only:","6,861","±555"
"            In labor force:","5,411","±525"
"                In Armed Forces","0","±29"
"                Civilian:","5,411","±525"
"                    Employed","4,970","±516"
"                    Unemployed","441","±232"
"            Not in labor force","1,450","±334"
"    No own children of the householder under 18 years:","32,108","±709"
"        In labor force:","24,041","±1,107"
"            In Armed Forces","0","±29"
"            Civilian:","24,041","±1,107"
"                Employed","22,535","±1,208"
"                Unemployed","1,506","±575"
"        Not in labor force","8,067","±850"
