"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","39,936","±597"
"    With own children of the householder under 18 years:","10,548","±618"
"        Under 6 years only:","2,621","±401"
"            In labor force:","2,032","±367"
"                In Armed Forces","0","±30"
"                Civilian:","2,032","±367"
"                    Employed","1,996","±368"
"                    Unemployed","36","±39"
"            Not in labor force","589","±181"
"        Under 6 years and 6 to 17 years:","1,976","±372"
"            In labor force:","1,561","±342"
"                In Armed Forces","0","±30"
"                Civilian:","1,561","±342"
"                    Employed","1,516","±337"
"                    Unemployed","45","±34"
"            Not in labor force","415","±147"
"        6 to 17 years only:","5,951","±550"
"            In labor force:","4,694","±506"
"                In Armed Forces","0","±30"
"                Civilian:","4,694","±506"
"                    Employed","4,428","±515"
"                    Unemployed","266","±166"
"            Not in labor force","1,257","±339"
"    No own children of the householder under 18 years:","29,388","±911"
"        In labor force:","22,237","±876"
"            In Armed Forces","0","±30"
"            Civilian:","22,237","±876"
"                Employed","20,926","±897"
"                Unemployed","1,311","±488"
"        Not in labor force","7,151","±687"
