"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","42,660","±492"
"    With own children of the householder under 18 years:","11,361","±586"
"        Under 6 years only:","2,978","±386"
"            In labor force:","1,955","±302"
"                In Armed Forces","0","±27"
"                Civilian:","1,955","±302"
"                    Employed","1,894","±294"
"                    Unemployed","61","±50"
"            Not in labor force","1,023","±239"
"        Under 6 years and 6 to 17 years:","1,971","±309"
"            In labor force:","1,337","±295"
"                In Armed Forces","0","±27"
"                Civilian:","1,337","±295"
"                    Employed","1,240","±281"
"                    Unemployed","97","±60"
"            Not in labor force","634","±153"
"        6 to 17 years only:","6,412","±470"
"            In labor force:","4,885","±397"
"                In Armed Forces","0","±27"
"                Civilian:","4,885","±397"
"                    Employed","4,578","±401"
"                    Unemployed","307","±116"
"            Not in labor force","1,527","±276"
"    No own children of the householder under 18 years:","31,299","±677"
"        In labor force:","22,545","±774"
"            In Armed Forces","0","±27"
"            Civilian:","22,545","±774"
"                Employed","21,307","±788"
"                Unemployed","1,238","±287"
"        Not in labor force","8,754","±718"
