"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","42,877","±539"
"    With own children of the householder under 18 years:","11,226","±502"
"        Under 6 years only:","3,170","±349"
"            In labor force:","1,991","±300"
"                In Armed Forces","0","±27"
"                Civilian:","1,991","±300"
"                    Employed","1,893","±297"
"                    Unemployed","98","±74"
"            Not in labor force","1,179","±229"
"        Under 6 years and 6 to 17 years:","1,984","±277"
"            In labor force:","1,374","±250"
"                In Armed Forces","0","±27"
"                Civilian:","1,374","±250"
"                    Employed","1,278","±250"
"                    Unemployed","96","±60"
"            Not in labor force","610","±155"
"        6 to 17 years only:","6,072","±422"
"            In labor force:","4,706","±360"
"                In Armed Forces","0","±27"
"                Civilian:","4,706","±360"
"                    Employed","4,442","±349"
"                    Unemployed","264","±125"
"            Not in labor force","1,366","±247"
"    No own children of the householder under 18 years:","31,651","±696"
"        In labor force:","22,714","±761"
"            In Armed Forces","0","±27"
"            Civilian:","22,714","±761"
"                Employed","21,528","±762"
"                Unemployed","1,186","±257"
"        Not in labor force","8,937","±778"
