"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","42,040","±422"
"    With own children under 18 years:","11,209","±512"
"        Under 6 years only:","3,140","±403"
"            In labor force:","1,903","±317"
"                In Armed Forces","0","±27"
"                Civilian:","1,903","±317"
"                    Employed","1,780","±313"
"                    Unemployed","123","±85"
"            Not in labor force","1,237","±257"
"        Under 6 years and 6 to 17 years:","2,219","±296"
"            In labor force:","1,459","±236"
"                In Armed Forces","0","±27"
"                Civilian:","1,459","±236"
"                    Employed","1,395","±232"
"                    Unemployed","64","±53"
"            Not in labor force","760","±222"
"        6 to 17 years only:","5,850","±406"
"            In labor force:","4,518","±376"
"                In Armed Forces","0","±27"
"                Civilian:","4,518","±376"
"                    Employed","4,305","±368"
"                    Unemployed","213","±90"
"            Not in labor force","1,332","±273"
"    No own children under 18 years:","30,831","±583"
"        In labor force:","21,820","±818"
"            In Armed Forces","0","±27"
"            Civilian:","21,820","±818"
"                Employed","20,701","±799"
"                Unemployed","1,119","±243"
"        Not in labor force","9,011","±686"
