"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","43,333","±444"
"    With own children of the householder under 18 years:","11,476","±523"
"        Under 6 years only:","2,890","±377"
"            In labor force:","2,101","±314"
"                In Armed Forces","0","±27"
"                Civilian:","2,101","±314"
"                    Employed","2,047","±314"
"                    Unemployed","54","±47"
"            Not in labor force","789","±200"
"        Under 6 years and 6 to 17 years:","1,916","±282"
"            In labor force:","1,442","±267"
"                In Armed Forces","0","±27"
"                Civilian:","1,442","±267"
"                    Employed","1,278","±233"
"                    Unemployed","164","±118"
"            Not in labor force","474","±154"
"        6 to 17 years only:","6,670","±459"
"            In labor force:","5,061","±399"
"                In Armed Forces","0","±27"
"                Civilian:","5,061","±399"
"                    Employed","4,620","±364"
"                    Unemployed","441","±158"
"            Not in labor force","1,609","±289"
"    No own children of the householder under 18 years:","31,857","±632"
"        In labor force:","23,710","±830"
"            In Armed Forces","0","±27"
"            Civilian:","23,710","±830"
"                Employed","22,436","±812"
"                Unemployed","1,274","±282"
"        Not in labor force","8,147","±717"
