"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","42,731","±563"
"    With own children of the householder under 18 years:","11,640","±491"
"        Under 6 years only:","2,870","±386"
"            In labor force:","1,979","±320"
"                In Armed Forces","0","±27"
"                Civilian:","1,979","±320"
"                    Employed","1,926","±315"
"                    Unemployed","53","±43"
"            Not in labor force","891","±205"
"        Under 6 years and 6 to 17 years:","1,956","±322"
"            In labor force:","1,351","±276"
"                In Armed Forces","0","±27"
"                Civilian:","1,351","±276"
"                    Employed","1,199","±256"
"                    Unemployed","152","±88"
"            Not in labor force","605","±162"
"        6 to 17 years only:","6,814","±466"
"            In labor force:","5,259","±402"
"                In Armed Forces","0","±27"
"                Civilian:","5,259","±402"
"                    Employed","4,914","±373"
"                    Unemployed","345","±134"
"            Not in labor force","1,555","±252"
"    No own children of the householder under 18 years:","31,091","±676"
"        In labor force:","22,672","±850"
"            In Armed Forces","0","±27"
"            Civilian:","22,672","±850"
"                Employed","21,485","±859"
"                Unemployed","1,187","±265"
"        Not in labor force","8,419","±770"
