"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","39,778","±625"
"    With own children of the householder under 18 years:","10,561","±618"
"        Under 6 years only:","2,167","±389"
"            In labor force:","1,734","±351"
"                In Armed Forces","0","±30"
"                Civilian:","1,734","±351"
"                    Employed","1,693","±345"
"                    Unemployed","41","±45"
"            Not in labor force","433","±142"
"        Under 6 years and 6 to 17 years:","2,139","±408"
"            In labor force:","1,650","±333"
"                In Armed Forces","0","±30"
"                Civilian:","1,650","±333"
"                    Employed","1,602","±330"
"                    Unemployed","48","±42"
"            Not in labor force","489","±174"
"        6 to 17 years only:","6,255","±576"
"            In labor force:","4,908","±487"
"                In Armed Forces","0","±30"
"                Civilian:","4,908","±487"
"                    Employed","4,719","±489"
"                    Unemployed","189","±141"
"            Not in labor force","1,347","±353"
"    No own children of the householder under 18 years:","29,217","±883"
"        In labor force:","22,273","±1,080"
"            In Armed Forces","0","±30"
"            Civilian:","22,273","±1,080"
"                Employed","20,912","±1,047"
"                Unemployed","1,361","±482"
"        Not in labor force","6,944","±681"
