"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","43,161","±462"
"    With own children of the householder under 18 years:","11,296","±595"
"        Under 6 years only:","2,739","±357"
"            In labor force:","2,065","±302"
"                In Armed Forces","0","±28"
"                Civilian:","2,065","±302"
"                    Employed","2,023","±300"
"                    Unemployed","42","±41"
"            Not in labor force","674","±171"
"        Under 6 years and 6 to 17 years:","1,854","±308"
"            In labor force:","1,322","±248"
"                In Armed Forces","0","±28"
"                Civilian:","1,322","±248"
"                    Employed","1,184","±226"
"                    Unemployed","138","±116"
"            Not in labor force","532","±136"
"        6 to 17 years only:","6,703","±509"
"            In labor force:","5,173","±420"
"                In Armed Forces","0","±28"
"                Civilian:","5,173","±420"
"                    Employed","4,768","±426"
"                    Unemployed","405","±158"
"            Not in labor force","1,530","±320"
"    No own children of the householder under 18 years:","31,865","±669"
"        In labor force:","23,574","±745"
"            In Armed Forces","0","±28"
"            Civilian:","23,574","±745"
"                Employed","22,522","±749"
"                Unemployed","1,052","±218"
"        Not in labor force","8,291","±702"
