"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","39,998","±657"
"    With own children of the householder under 18 years:","10,770","±675"
"        Under 6 years only:","2,764","±398"
"            In labor force:","2,148","±352"
"                In Armed Forces","0","±29"
"                Civilian:","2,148","±352"
"                    Employed","2,075","±342"
"                    Unemployed","73","±68"
"            Not in labor force","616","±185"
"        Under 6 years and 6 to 17 years:","1,898","±276"
"            In labor force:","1,508","±287"
"                In Armed Forces","0","±29"
"                Civilian:","1,508","±287"
"                    Employed","1,446","±283"
"                    Unemployed","62","±72"
"            Not in labor force","390","±124"
"        6 to 17 years only:","6,108","±524"
"            In labor force:","4,906","±496"
"                In Armed Forces","0","±29"
"                Civilian:","4,906","±496"
"                    Employed","4,539","±466"
"                    Unemployed","367","±180"
"            Not in labor force","1,202","±306"
"    No own children of the householder under 18 years:","29,228","±995"
"        In labor force:","22,078","±908"
"            In Armed Forces","0","±29"
"            Civilian:","22,078","±908"
"                Employed","20,734","±974"
"                Unemployed","1,344","±476"
"        Not in labor force","7,150","±695"
