"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Median family income in the past 12 months (in 2022 inflation-adjusted dollars) --","",""
"    Total:","92,192","±3,618"
"        Married-couple family --","",""
"            Total","108,261","±3,916"
"                With own children of the householder under 18 years","117,128","±4,714"
"                No own children of the householder under 18 years","101,570","±4,159"
"        Other family --","",""
"            Total","45,375","±7,872"
"                Male householder, no spouse present --","",""
"                    Total","43,571","±14,494"
"                        With own children of the householder under 18 years","47,375","±14,721"
"                        No own children of the householder under 18 years","29,741","±25,330"
"                Female householder, no spouse present --","",""
"                    Total","45,743","±9,926"
"                        With own children of the householder under 18 years","34,879","±3,911"
"                        No own children of the householder under 18 years","59,155","±26,217"
