"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Median family income in the past 12 months (in 2015 Inflation-adjusted dollars) --","",""
"    Total:","63,712","±2,669"
"    Married-couple family --","",""
"        Total","76,768","±3,279"
"        With own children of the householder under 18 years","85,831","±5,248"
"        No own children of the householder under 18 years","72,362","±3,035"
"    Other family --","",""
"        Total","31,205","±2,749"
"        Male householder, no wife present --","",""
"            Total","41,406","±9,274"
"            With own children of the householder under 18 years","43,792","±10,926"
"            No own children of the householder under 18 years","36,071","±19,560"
"        Female householder, no husband present --","",""
"            Total","29,213","±3,891"
"            With own children of the householder under 18 years","22,780","±6,218"
"            No own children of the householder under 18 years","39,254","±10,027"
