"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Median family income in the past 12 months (in 2013 inflation-adjusted dollars) --","",""
"    Total:","62,959","±1,941"
"    Married-couple family --","",""
"        Total","73,435","±4,062"
"        With own children under 18 years","84,600","±5,186"
"        No own children under 18 years","69,085","±2,130"
"    Other family --","",""
"        Total","30,430","±3,368"
"        Male householder, no wife present --","",""
"            Total","39,727","±10,346"
"            With own children under 18 years","46,875","±11,159"
"            No own children under 18 years","30,577","±19,780"
"        Female householder, no husband present --","",""
"            Total","28,576","±2,944"
"            With own children under 18 years","23,491","±5,257"
"            No own children under 18 years","40,449","±7,137"
