"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Median family income in the past 12 months (in 2019 inflation-adjusted dollars) --","",""
"    Total:","77,074","±3,396"
"        Married-couple family --","",""
"            Total","92,389","±3,129"
"                With own children of the householder under 18 years","99,363","±5,899"
"                No own children of the householder under 18 years","90,230","±3,039"
"        Other family --","",""
"            Total","34,280","±3,872"
"                Male householder, no spouse present --","",""
"                    Total","35,117","±8,683"
"                        With own children of the householder under 18 years","36,563","±21,178"
"                        No own children of the householder under 18 years","29,265","±13,002"
"                Female householder, no spouse present --","",""
"                    Total","34,057","±4,057"
"                        With own children of the householder under 18 years","22,490","±6,273"
"                        No own children of the householder under 18 years","45,079","±6,586"
