"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Median family income in the past 12 months (in 2018 inflation-adjusted dollars) --","",""
"    Total:","70,445","±2,357"
"    Married-couple family --","",""
"        Total","87,762","±3,060"
"            With own children of the householder under 18 years","92,952","±6,281"
"            No own children of the householder under 18 years","85,378","±3,730"
"    Other family --","",""
"        Total","30,037","±1,603"
"        Male householder, no wife present --","",""
"            Total","35,217","±5,964"
"                With own children of the householder under 18 years","35,660","±8,517"
"                No own children of the householder under 18 years","34,688","±9,974"
"        Female householder, no husband present --","",""
"            Total","28,347","±1,769"
"                With own children of the householder under 18 years","19,312","±2,491"
"                No own children of the householder under 18 years","39,616","±6,281"
