"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Median family income in the past 12 months (in 2016 inflation-adjusted dollars) --","",""
"    Total:","66,421","±2,398"
"    Married-couple family --","",""
"        Total","81,380","±2,635"
"        With own children of the householder under 18 years","87,738","±4,610"
"        No own children of the householder under 18 years","78,883","±3,892"
"    Other family --","",""
"        Total","31,067","±2,132"
"        Male householder, no wife present --","",""
"            Total","41,063","±10,293"
"            With own children of the householder under 18 years","47,700","±12,924"
"            No own children of the householder under 18 years","35,605","±17,246"
"        Female householder, no husband present --","",""
"            Total","27,827","±3,923"
"            With own children of the householder under 18 years","22,253","±5,299"
"            No own children of the householder under 18 years","42,125","±9,057"
