"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Median family income in the past 12 months (in 2020 inflation-adjusted dollars) --","",""
"    Total:","78,908","±2,770"
"        Married-couple family --","",""
"            Total","94,424","±3,586"
"                With own children of the householder under 18 years","103,776","±7,966"
"                No own children of the householder under 18 years","89,307","±4,223"
"        Other family --","",""
"            Total","38,329","±4,613"
"                Male householder, no spouse present --","",""
"                    Total","35,858","±8,059"
"                        With own children of the householder under 18 years","34,135","±10,338"
"                        No own children of the householder under 18 years","38,438","±9,248"
"                Female householder, no spouse present --","",""
"                    Total","39,278","±4,878"
"                        With own children of the householder under 18 years","30,464","±6,613"
"                        No own children of the householder under 18 years","49,338","±9,578"
