"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Median family income in the past 12 months (in 2017 inflation-adjusted dollars) --","",""
"    Total:","69,459","±2,281"
"    Married-couple family --","",""
"        Total","85,460","±2,799"
"            With own children of the householder under 18 years","92,381","±5,314"
"            No own children of the householder under 18 years","82,453","±3,656"
"    Other family --","",""
"        Total","31,368","±2,000"
"        Male householder, no wife present --","",""
"            Total","40,644","±6,790"
"                With own children of the householder under 18 years","41,959","±11,270"
"                No own children of the householder under 18 years","39,167","±9,164"
"        Female householder, no husband present --","",""
"            Total","28,376","±3,900"
"                With own children of the householder under 18 years","18,250","±3,266"
"                No own children of the householder under 18 years","43,095","±7,159"
