"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Median family income in the past 12 months (in 2014 Inflation-adjusted dollars) --","",""
"    Total:","62,033","±2,269"
"    Married-couple family --","",""
"        Total","74,892","±3,466"
"        With own children under 18 years","84,389","±5,585"
"        No own children under 18 years","71,382","±3,438"
"    Other family --","",""
"        Total","31,660","±2,929"
"        Male householder, no wife present --","",""
"            Total","42,234","±7,765"
"            With own children under 18 years","43,796","±11,548"
"            No own children under 18 years","40,968","±11,502"
"        Female householder, no husband present --","",""
"            Total","28,608","±3,209"
"            With own children under 18 years","23,528","±3,508"
"            No own children under 18 years","42,523","±7,718"
