"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","55,537","±732"
"    Owner occupied:","30,431","±650"
"        0.50 or less occupants per room","25,185","±711"
"        0.51 to 1.00 occupants per room","5,031","±475"
"        1.01 to 1.50 occupants per room","88","±63"
"        1.51 to 2.00 occupants per room","86","±86"
"        2.01 or more occupants per room","41","±31"
"    Renter occupied:","25,106","±772"
"        0.50 or less occupants per room","17,011","±637"
"        0.51 to 1.00 occupants per room","7,401","±608"
"        1.01 to 1.50 occupants per room","465","±157"
"        1.51 to 2.00 occupants per room","220","±123"
"        2.01 or more occupants per room","9","±12"
