"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","56,399","±682"
"    Owner occupied:","31,146","±802"
"        0.50 or less occupants per room","26,133","±871"
"        0.51 to 1.00 occupants per room","4,885","±440"
"        1.01 to 1.50 occupants per room","93","±55"
"        1.51 to 2.00 occupants per room","5","±10"
"        2.01 or more occupants per room","30","±28"
"    Renter occupied:","25,253","±879"
"        0.50 or less occupants per room","16,760","±904"
"        0.51 to 1.00 occupants per room","7,924","±765"
"        1.01 to 1.50 occupants per room","347","±122"
"        1.51 to 2.00 occupants per room","222","±123"
"        2.01 or more occupants per room","0","±29"
