"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","57,466","±755"
"    Owner occupied:","31,770","±734"
"        0.50 or less occupants per room","26,376","±774"
"        0.51 to 1.00 occupants per room","5,130","±523"
"        1.01 to 1.50 occupants per room","157","±72"
"        1.51 to 2.00 occupants per room","85","±105"
"        2.01 or more occupants per room","22","±21"
"    Renter occupied:","25,696","±968"
"        0.50 or less occupants per room","16,703","±867"
"        0.51 to 1.00 occupants per room","8,424","±702"
"        1.01 to 1.50 occupants per room","338","±126"
"        1.51 to 2.00 occupants per room","231","±94"
"        2.01 or more occupants per room","0","±30"
