"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","55,624","±725"
"    Owner occupied:","31,106","±641"
"        0.50 or less occupants per room","25,920","±658"
"        0.51 to 1.00 occupants per room","4,984","±437"
"        1.01 to 1.50 occupants per room","104","±56"
"        1.51 to 2.00 occupants per room","59","±70"
"        2.01 or more occupants per room","39","±32"
"    Renter occupied:","24,518","±844"
"        0.50 or less occupants per room","16,678","±881"
"        0.51 to 1.00 occupants per room","7,194","±504"
"        1.01 to 1.50 occupants per room","373","±130"
"        1.51 to 2.00 occupants per room","263","±131"
"        2.01 or more occupants per room","10","±16"
