"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","55,014","±732"
"    Owner occupied:","29,793","±647"
"        0.50 or less occupants per room","24,740","±729"
"        0.51 to 1.00 occupants per room","4,876","±383"
"        1.01 to 1.50 occupants per room","68","±45"
"        1.51 to 2.00 occupants per room","68","±54"
"        2.01 or more occupants per room","41","±30"
"    Renter occupied:","25,221","±844"
"        0.50 or less occupants per room","17,128","±755"
"        0.51 to 1.00 occupants per room","7,549","±593"
"        1.01 to 1.50 occupants per room","391","±138"
"        1.51 to 2.00 occupants per room","145","±97"
"        2.01 or more occupants per room","8","±12"
