"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","53,778","±640"
"    Owner occupied:","29,092","±608"
"        0.50 or less occupants per room","24,267","±597"
"        0.51 to 1.00 occupants per room","4,639","±413"
"        1.01 to 1.50 occupants per room","111","±55"
"        1.51 to 2.00 occupants per room","48","±27"
"        2.01 or more occupants per room","27","±34"
"    Renter occupied:","24,686","±658"
"        0.50 or less occupants per room","16,806","±653"
"        0.51 to 1.00 occupants per room","7,497","±531"
"        1.01 to 1.50 occupants per room","256","±109"
"        1.51 to 2.00 occupants per room","44","±39"
"        2.01 or more occupants per room","83","±91"
