"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","54,165","±810"
"    Owner occupied:","29,050","±557"
"        0.50 or less occupants per room","23,992","±568"
"        0.51 to 1.00 occupants per room","4,894","±361"
"        1.01 to 1.50 occupants per room","58","±43"
"        1.51 to 2.00 occupants per room","78","±47"
"        2.01 or more occupants per room","28","±34"
"    Renter occupied:","25,115","±851"
"        0.50 or less occupants per room","17,253","±800"
"        0.51 to 1.00 occupants per room","7,483","±612"
"        1.01 to 1.50 occupants per room","290","±122"
"        1.51 to 2.00 occupants per room","57","±48"
"        2.01 or more occupants per room","32","±41"
