"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","57,160","±701"
"    Owner occupied:","31,267","±758"
"        0.50 or less occupants per room","26,124","±782"
"        0.51 to 1.00 occupants per room","4,911","±580"
"        1.01 to 1.50 occupants per room","150","±66"
"        1.51 to 2.00 occupants per room","65","±76"
"        2.01 or more occupants per room","17","±19"
"    Renter occupied:","25,893","±908"
"        0.50 or less occupants per room","16,589","±953"
"        0.51 to 1.00 occupants per room","8,698","±750"
"        1.01 to 1.50 occupants per room","332","±151"
"        1.51 to 2.00 occupants per room","274","±112"
"        2.01 or more occupants per room","0","±29"
