"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","58,264","±686"
"    Owner occupied:","31,949","±751"
"        0.50 or less occupants per room","26,333","±752"
"        0.51 to 1.00 occupants per room","5,328","±480"
"        1.01 to 1.50 occupants per room","203","±107"
"        1.51 to 2.00 occupants per room","76","±94"
"        2.01 or more occupants per room","9","±12"
"    Renter occupied:","26,315","±871"
"        0.50 or less occupants per room","17,252","±892"
"        0.51 to 1.00 occupants per room","8,537","±778"
"        1.01 to 1.50 occupants per room","346","±163"
"        1.51 to 2.00 occupants per room","180","±96"
"        2.01 or more occupants per room","0","±30"
