"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","53,914","±699"
"    Owner occupied:","29,087","±603"
"        0.50 or less occupants per room","24,616","±694"
"        0.51 to 1.00 occupants per room","4,285","±396"
"        1.01 to 1.50 occupants per room","109","±63"
"        1.51 to 2.00 occupants per room","58","±48"
"        2.01 or more occupants per room","19","±25"
"    Renter occupied:","24,827","±735"
"        0.50 or less occupants per room","16,945","±727"
"        0.51 to 1.00 occupants per room","7,462","±660"
"        1.01 to 1.50 occupants per room","239","±125"
"        1.51 to 2.00 occupants per room","67","±51"
"        2.01 or more occupants per room","114","±98"
