"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","54,278","±673"
"    Owner occupied:","29,472","±665"
"        0.50 or less occupants per room","24,380","±713"
"        0.51 to 1.00 occupants per room","4,898","±406"
"        1.01 to 1.50 occupants per room","69","±45"
"        1.51 to 2.00 occupants per room","83","±50"
"        2.01 or more occupants per room","42","±33"
"    Renter occupied:","24,806","±722"
"        0.50 or less occupants per room","17,190","±721"
"        0.51 to 1.00 occupants per room","7,161","±637"
"        1.01 to 1.50 occupants per room","327","±115"
"        1.51 to 2.00 occupants per room","100","±79"
"        2.01 or more occupants per room","28","±37"
