"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","125,117","±806"
"    Income in the past 12 months below poverty level:","31,344","±1,531"
"        Male:","15,829","±998"
"            Under 5 years","826","±211"
"            5 years","109","±55"
"            6 to 11 years","744","±248"
"            12 to 14 years","229","±113"
"            15 years","47","±40"
"            16 and 17 years","107","±51"
"            18 to 24 years","9,413","±673"
"            25 to 34 years","2,078","±313"
"            35 to 44 years","798","±257"
"            45 to 54 years","785","±249"
"            55 to 64 years","399","±115"
"            65 to 74 years","87","±47"
"            75 years and over","207","±91"
"        Female:","15,515","±908"
"            Under 5 years","801","±226"
"            5 years","94","±76"
"            6 to 11 years","502","±191"
"            12 to 14 years","117","±62"
"            15 years","35","±35"
"            16 and 17 years","194","±128"
"            18 to 24 years","8,825","±663"
"            25 to 34 years","2,020","±267"
"            35 to 44 years","858","±209"
"            45 to 54 years","929","±159"
"            55 to 64 years","538","±135"
"            65 to 74 years","241","±109"
"            75 years and over","361","±120"
"    Income in the past 12 months at or above poverty level:","93,773","±1,263"
"        Male:","46,560","±967"
"            Under 5 years","2,469","±219"
"            5 years","483","±136"
"            6 to 11 years","3,080","±275"
"            12 to 14 years","1,671","±246"
"            15 years","603","±119"
"            16 and 17 years","967","±140"
"            18 to 24 years","4,757","±599"
"            25 to 34 years","7,946","±331"
"            35 to 44 years","6,475","±285"
"            45 to 54 years","6,189","±275"
"            55 to 64 years","6,067","±140"
"            65 to 74 years","3,495","±93"
"            75 years and over","2,358","±110"
"        Female:","47,213","±700"
"            Under 5 years","2,258","±219"
"            5 years","540","±192"
"            6 to 11 years","3,141","±269"
"            12 to 14 years","1,747","±248"
"            15 years","576","±160"
"            16 and 17 years","973","±173"
"            18 to 24 years","4,232","±503"
"            25 to 34 years","7,337","±339"
"            35 to 44 years","6,129","±214"
"            45 to 54 years","6,484","±182"
"            55 to 64 years","6,399","±155"
"            65 to 74 years","3,889","±110"
"            75 years and over","3,508","±149"
