"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","131,534","±848"
"    Income in the past 12 months below poverty level:","29,741","±2,025"
"        Male:","15,178","±1,086"
"            Under 5 years","591","±246"
"            5 years","84","±79"
"            6 to 11 years","784","±209"
"            12 to 14 years","285","±122"
"            15 years","78","±48"
"            16 and 17 years","310","±131"
"            18 to 24 years","8,216","±494"
"            25 to 34 years","1,800","±334"
"            35 to 44 years","765","±326"
"            45 to 54 years","1,026","±308"
"            55 to 64 years","908","±214"
"            65 to 74 years","272","±124"
"            75 years and over","59","±45"
"        Female:","14,563","±1,319"
"            Under 5 years","770","±215"
"            5 years","141","±72"
"            6 to 11 years","589","±230"
"            12 to 14 years","141","±76"
"            15 years","119","±77"
"            16 and 17 years","105","±68"
"            18 to 24 years","6,874","±722"
"            25 to 34 years","2,021","±367"
"            35 to 44 years","1,143","±311"
"            45 to 54 years","1,142","±372"
"            55 to 64 years","1,088","±402"
"            65 to 74 years","294","±114"
"            75 years and over","136","±59"
"    Income in the past 12 months at or above poverty level:","101,793","±1,984"
"        Male:","50,479","±1,113"
"            Under 5 years","2,561","±287"
"            5 years","463","±135"
"            6 to 11 years","3,004","±286"
"            12 to 14 years","1,832","±237"
"            15 years","607","±185"
"            16 and 17 years","1,027","±174"
"            18 to 24 years","4,857","±534"
"            25 to 34 years","8,818","±380"
"            35 to 44 years","6,992","±352"
"            45 to 54 years","6,085","±313"
"            55 to 64 years","6,426","±236"
"            65 to 74 years","4,826","±172"
"            75 years and over","2,981","±91"
"        Female:","51,314","±1,268"
"            Under 5 years","2,197","±202"
"            5 years","554","±181"
"            6 to 11 years","2,845","±296"
"            12 to 14 years","1,628","±244"
"            15 years","626","±184"
"            16 and 17 years","1,068","±182"
"            18 to 24 years","5,256","±723"
"            25 to 34 years","7,858","±400"
"            35 to 44 years","6,507","±302"
"            45 to 54 years","6,004","±362"
"            55 to 64 years","6,859","±403"
"            65 to 74 years","5,678","±152"
"            75 years and over","4,234","±146"
