"Label (Grouping)","Monroe County, Indiana!!Total population!!Estimate","Monroe County, Indiana!!Total population!!Margin of Error"
"Total:","127,702","±1,086"
"    Income in the past 12 months below poverty level:","31,707","±1,522"
"        Male:","15,337","±866"
"            Under 5 years","801","±178"
"            5 years","79","±64"
"            6 to 11 years","806","±200"
"            12 to 14 years","248","±112"
"            15 years","65","±44"
"            16 and 17 years","161","±85"
"            18 to 24 years","8,924","±601"
"            25 to 34 years","1,996","±345"
"            35 to 44 years","789","±150"
"            45 to 54 years","744","±166"
"            55 to 64 years","461","±112"
"            65 to 74 years","154","±84"
"            75 years and over","109","±70"
"        Female:","16,370","±1,067"
"            Under 5 years","808","±186"
"            5 years","206","±90"
"            6 to 11 years","561","±181"
"            12 to 14 years","174","±92"
"            15 years","77","±48"
"            16 and 17 years","179","±94"
"            18 to 24 years","8,826","±646"
"            25 to 34 years","2,346","±333"
"            35 to 44 years","1,052","±220"
"            45 to 54 years","866","±239"
"            55 to 64 years","753","±172"
"            65 to 74 years","223","±91"
"            75 years and over","299","±100"
"    Income in the past 12 months at or above poverty level:","95,995","±1,398"
"        Male:","48,698","±910"
"            Under 5 years","2,526","±181"
"            5 years","485","±125"
"            6 to 11 years","3,274","±280"
"            12 to 14 years","1,488","±274"
"            15 years","531","±150"
"            16 and 17 years","1,051","±146"
"            18 to 24 years","5,358","±559"
"            25 to 34 years","8,478","±375"
"            35 to 44 years","6,472","±294"
"            45 to 54 years","6,251","±200"
"            55 to 64 years","6,395","±151"
"            65 to 74 years","3,901","±119"
"            75 years and over","2,488","±96"
"        Female:","47,297","±934"
"            Under 5 years","2,165","±190"
"            5 years","596","±172"
"            6 to 11 years","2,823","±278"
"            12 to 14 years","1,696","±264"
"            15 years","589","±150"
"            16 and 17 years","934","±141"
"            18 to 24 years","4,290","±508"
"            25 to 34 years","7,352","±342"
"            35 to 44 years","5,842","±257"
"            45 to 54 years","6,516","±227"
"            55 to 64 years","6,538","±165"
"            65 to 74 years","4,373","±133"
"            75 years and over","3,583","±157"
