"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","125,132","±406"
"    Income in the past 12 months below poverty level:","25,891","±1,929"
"        Male:","12,648","±1,070"
"            Under 5 years","460","±180"
"            5 years","46","±41"
"            6 to 11 years","495","±123"
"            12 to 14 years","264","±110"
"            15 years","123","±94"
"            16 and 17 years","210","±149"
"            18 to 24 years","6,925","±683"
"            25 to 34 years","1,672","±280"
"            35 to 44 years","569","±241"
"            45 to 54 years","631","±267"
"            55 to 64 years","836","±251"
"            65 to 74 years","351","±164"
"            75 years and over","66","±41"
"        Female:","13,243","±1,274"
"            Under 5 years","502","±173"
"            5 years","119","±65"
"            6 to 11 years","558","±268"
"            12 to 14 years","198","±109"
"            15 years","142","±97"
"            16 and 17 years","87","±67"
"            18 to 24 years","6,398","±561"
"            25 to 34 years","1,735","±363"
"            35 to 44 years","944","±330"
"            45 to 54 years","1,102","±340"
"            55 to 64 years","988","±335"
"            65 to 74 years","288","±118"
"            75 years and over","182","±64"
"    Income in the past 12 months at or above poverty level:","99,241","±1,946"
"        Male:","49,970","±1,073"
"            Under 5 years","2,402","±206"
"            5 years","555","±213"
"            6 to 11 years","3,243","±275"
"            12 to 14 years","1,690","±249"
"            15 years","612","±159"
"            16 and 17 years","955","±143"
"            18 to 24 years","4,638","±611"
"            25 to 34 years","8,479","±310"
"            35 to 44 years","7,110","±295"
"            45 to 54 years","6,227","±297"
"            55 to 64 years","6,189","±270"
"            65 to 74 years","4,944","±194"
"            75 years and over","2,926","±69"
"        Female:","49,271","±1,275"
"            Under 5 years","2,295","±202"
"            5 years","487","±155"
"            6 to 11 years","2,817","±298"
"            12 to 14 years","1,492","±276"
"            15 years","505","±170"
"            16 and 17 years","1,133","±183"
"            18 to 24 years","4,631","±524"
"            25 to 34 years","7,331","±375"
"            35 to 44 years","6,611","±360"
"            45 to 54 years","5,542","±372"
"            55 to 64 years","6,419","±351"
"            65 to 74 years","5,725","±139"
"            75 years and over","4,283","±132"
