"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","124,391","±818"
"    Income in the past 12 months below poverty level:","27,149","±1,873"
"        Male:","13,502","±988"
"            Under 5 years","516","±194"
"            5 years","85","±83"
"            6 to 11 years","600","±172"
"            12 to 14 years","256","±122"
"            15 years","83","±80"
"            16 and 17 years","227","±135"
"            18 to 24 years","7,274","±591"
"            25 to 34 years","1,673","±312"
"            35 to 44 years","710","±264"
"            45 to 54 years","829","±252"
"            55 to 64 years","933","±245"
"            65 to 74 years","253","±121"
"            75 years and over","63","±42"
"        Female:","13,647","±1,161"
"            Under 5 years","606","±180"
"            5 years","179","±85"
"            6 to 11 years","531","±225"
"            12 to 14 years","281","±125"
"            15 years","103","±70"
"            16 and 17 years","53","±46"
"            18 to 24 years","6,515","±740"
"            25 to 34 years","1,852","±276"
"            35 to 44 years","1,007","±308"
"            45 to 54 years","1,079","±311"
"            55 to 64 years","1,007","±351"
"            65 to 74 years","302","±103"
"            75 years and over","132","±59"
"    Income in the past 12 months at or above poverty level:","97,242","±1,675"
"        Male:","48,634","±925"
"            Under 5 years","2,362","±218"
"            5 years","480","±185"
"            6 to 11 years","3,101","±306"
"            12 to 14 years","1,731","±273"
"            15 years","672","±166"
"            16 and 17 years","865","±125"
"            18 to 24 years","4,627","±542"
"            25 to 34 years","8,284","±332"
"            35 to 44 years","6,867","±281"
"            45 to 54 years","5,944","±295"
"            55 to 64 years","6,002","±217"
"            65 to 74 years","4,914","±161"
"            75 years and over","2,785","±77"
"        Female:","48,608","±1,011"
"            Under 5 years","2,235","±186"
"            5 years","535","±181"
"            6 to 11 years","2,723","±298"
"            12 to 14 years","1,549","±236"
"            15 years","488","±163"
"            16 and 17 years","1,136","±160"
"            18 to 24 years","4,654","±520"
"            25 to 34 years","7,303","±298"
"            35 to 44 years","6,402","±333"
"            45 to 54 years","5,670","±340"
"            55 to 64 years","6,525","±358"
"            65 to 74 years","5,548","±140"
"            75 years and over","3,840","±131"
