"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","130,129","±808"
"    Income in the past 12 months below poverty level:","31,680","±1,268"
"        Male:","15,293","±753"
"            Under 5 years","686","±224"
"            5 years","128","±100"
"            6 to 11 years","732","±201"
"            12 to 14 years","339","±152"
"            15 years","103","±69"
"            16 and 17 years","243","±101"
"            18 to 24 years","8,401","±528"
"            25 to 34 years","1,623","±303"
"            35 to 44 years","895","±230"
"            45 to 54 years","920","±207"
"            55 to 64 years","885","±195"
"            65 to 74 years","285","±140"
"            75 years and over","53","±52"
"        Female:","16,387","±860"
"            Under 5 years","984","±196"
"            5 years","141","±84"
"            6 to 11 years","651","±167"
"            12 to 14 years","224","±112"
"            15 years","128","±103"
"            16 and 17 years","142","±70"
"            18 to 24 years","8,273","±502"
"            25 to 34 years","2,258","±325"
"            35 to 44 years","1,283","±252"
"            45 to 54 years","929","±203"
"            55 to 64 years","811","±186"
"            65 to 74 years","355","±129"
"            75 years and over","208","±83"
"    Income in the past 12 months at or above poverty level:","98,449","±1,339"
"        Male:","49,802","±812"
"            Under 5 years","2,608","±257"
"            5 years","528","±154"
"            6 to 11 years","2,844","±281"
"            12 to 14 years","1,790","±250"
"            15 years","547","±124"
"            16 and 17 years","1,071","±119"
"            18 to 24 years","5,152","±511"
"            25 to 34 years","9,032","±358"
"            35 to 44 years","6,588","±267"
"            45 to 54 years","6,097","±202"
"            55 to 64 years","6,245","±239"
"            65 to 74 years","4,473","±130"
"            75 years and over","2,827","±91"
"        Female:","48,647","±893"
"            Under 5 years","2,015","±182"
"            5 years","498","±142"
"            6 to 11 years","2,801","±215"
"            12 to 14 years","1,583","±237"
"            15 years","642","±146"
"            16 and 17 years","958","±149"
"            18 to 24 years","4,366","±487"
"            25 to 34 years","7,524","±357"
"            35 to 44 years","5,989","±270"
"            45 to 54 years","6,294","±228"
"            55 to 64 years","6,955","±219"
"            65 to 74 years","5,145","±166"
"            75 years and over","3,877","±166"
