"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","128,344","±959"
"    Income in the past 12 months below poverty level:","32,044","±1,583"
"        Male:","15,293","±959"
"            Under 5 years","912","±216"
"            5 years","116","±77"
"            6 to 11 years","836","±232"
"            12 to 14 years","315","±130"
"            15 years","88","±51"
"            16 and 17 years","189","±102"
"            18 to 24 years","8,671","±556"
"            25 to 34 years","1,802","±304"
"            35 to 44 years","868","±222"
"            45 to 54 years","725","±170"
"            55 to 64 years","519","±134"
"            65 to 74 years","207","±101"
"            75 years and over","45","±37"
"        Female:","16,751","±928"
"            Under 5 years","870","±233"
"            5 years","214","±100"
"            6 to 11 years","689","±183"
"            12 to 14 years","167","±81"
"            15 years","82","±59"
"            16 and 17 years","179","±100"
"            18 to 24 years","8,669","±632"
"            25 to 34 years","2,492","±297"
"            35 to 44 years","1,186","±207"
"            45 to 54 years","836","±168"
"            55 to 64 years","742","±166"
"            65 to 74 years","248","±95"
"            75 years and over","377","±113"
"    Income in the past 12 months at or above poverty level:","96,300","±1,474"
"        Male:","49,116","±934"
"            Under 5 years","2,343","±230"
"            5 years","494","±145"
"            6 to 11 years","3,130","±289"
"            12 to 14 years","1,522","±244"
"            15 years","508","±142"
"            16 and 17 years","1,043","±150"
"            18 to 24 years","5,294","±605"
"            25 to 34 years","8,976","±385"
"            35 to 44 years","6,413","±277"
"            45 to 54 years","6,259","±202"
"            55 to 64 years","6,488","±149"
"            65 to 74 years","4,086","±118"
"            75 years and over","2,560","±84"
"        Female:","47,184","±857"
"            Under 5 years","2,161","±209"
"            5 years","541","±163"
"            6 to 11 years","2,760","±261"
"            12 to 14 years","1,650","±223"
"            15 years","560","±124"
"            16 and 17 years","951","±127"
"            18 to 24 years","4,210","±539"
"            25 to 34 years","7,179","±271"
"            35 to 44 years","5,688","±282"
"            45 to 54 years","6,618","±203"
"            55 to 64 years","6,711","±191"
"            65 to 74 years","4,571","±113"
"            75 years and over","3,584","±159"
