"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","129,312","±946"
"    Income in the past 12 months below poverty level:","31,974","±1,311"
"        Male:","15,442","±833"
"            Under 5 years","854","±213"
"            5 years","126","±87"
"            6 to 11 years","841","±196"
"            12 to 14 years","265","±109"
"            15 years","109","±76"
"            16 and 17 years","188","±89"
"            18 to 24 years","8,539","±571"
"            25 to 34 years","1,769","±289"
"            35 to 44 years","951","±228"
"            45 to 54 years","837","±165"
"            55 to 64 years","669","±167"
"            65 to 74 years","250","±112"
"            75 years and over","44","±41"
"        Female:","16,532","±944"
"            Under 5 years","872","±211"
"            5 years","168","±73"
"            6 to 11 years","580","±174"
"            12 to 14 years","207","±90"
"            15 years","72","±68"
"            16 and 17 years","270","±133"
"            18 to 24 years","8,344","±651"
"            25 to 34 years","2,585","±329"
"            35 to 44 years","1,145","±230"
"            45 to 54 years","910","±226"
"            55 to 64 years","761","±199"
"            65 to 74 years","325","±109"
"            75 years and over","293","±112"
"    Income in the past 12 months at or above poverty level:","97,338","±1,311"
"        Male:","49,607","±832"
"            Under 5 years","2,465","±232"
"            5 years","403","±130"
"            6 to 11 years","3,048","±291"
"            12 to 14 years","1,696","±234"
"            15 years","540","±168"
"            16 and 17 years","1,120","±166"
"            18 to 24 years","5,475","±537"
"            25 to 34 years","8,857","±343"
"            35 to 44 years","6,293","±269"
"            45 to 54 years","6,222","±198"
"            55 to 64 years","6,408","±193"
"            65 to 74 years","4,329","±124"
"            75 years and over","2,751","±83"
"        Female:","47,731","±924"
"            Under 5 years","2,160","±215"
"            5 years","520","±171"
"            6 to 11 years","2,716","±266"
"            12 to 14 years","1,660","±266"
"            15 years","541","±152"
"            16 and 17 years","1,068","±177"
"            18 to 24 years","4,307","±538"
"            25 to 34 years","7,106","±320"
"            35 to 44 years","5,850","±277"
"            45 to 54 years","6,427","±228"
"            55 to 64 years","6,839","±211"
"            65 to 74 years","4,826","±150"
"            75 years and over","3,711","±163"
