"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","126,552","±855"
"    Income in the past 12 months below poverty level:","31,526","±1,370"
"        Male:","15,482","±967"
"            Under 5 years","839","±176"
"            5 years","102","±81"
"            6 to 11 years","946","±201"
"            12 to 14 years","127","±59"
"            15 years","42","±39"
"            16 and 17 years","123","±63"
"            18 to 24 years","8,835","±603"
"            25 to 34 years","2,093","±306"
"            35 to 44 years","760","±186"
"            45 to 54 years","875","±227"
"            55 to 64 years","458","±118"
"            65 to 74 years","85","±52"
"            75 years and over","197","±96"
"        Female:","16,044","±790"
"            Under 5 years","912","±173"
"            5 years","195","±84"
"            6 to 11 years","468","±140"
"            12 to 14 years","160","±83"
"            15 years","43","±33"
"            16 and 17 years","182","±117"
"            18 to 24 years","9,065","±655"
"            25 to 34 years","2,257","±280"
"            35 to 44 years","822","±194"
"            45 to 54 years","823","±196"
"            55 to 64 years","577","±143"
"            65 to 74 years","238","±89"
"            75 years and over","302","±129"
"    Income in the past 12 months at or above poverty level:","95,026","±1,354"
"        Male:","47,590","±946"
"            Under 5 years","2,457","±190"
"            5 years","507","±125"
"            6 to 11 years","3,202","±236"
"            12 to 14 years","1,510","±244"
"            15 years","567","±138"
"            16 and 17 years","1,022","±160"
"            18 to 24 years","5,126","±599"
"            25 to 34 years","8,237","±326"
"            35 to 44 years","6,552","±244"
"            45 to 54 years","6,098","±234"
"            55 to 64 years","6,213","±122"
"            65 to 74 years","3,682","±77"
"            75 years and over","2,417","±107"
"        Female:","47,436","±887"
"            Under 5 years","2,151","±176"
"            5 years","604","±203"
"            6 to 11 years","2,869","±258"
"            12 to 14 years","1,922","±257"
"            15 years","437","±126"
"            16 and 17 years","1,053","±152"
"            18 to 24 years","4,244","±561"
"            25 to 34 years","7,244","±285"
"            35 to 44 years","6,139","±192"
"            45 to 54 years","6,521","±214"
"            55 to 64 years","6,563","±168"
"            65 to 74 years","4,108","±105"
"            75 years and over","3,581","±198"
