"Column Name","Label"
"B27007_039E","Estimate!!Total!!Female!!18 to 24 years!!No Medicaid/means-tested public coverage"
"B27007_039M","Margin of Error!!Total!!Female!!18 to 24 years!!No Medicaid/means-tested public coverage"
"B27007_040E","Estimate!!Total!!Female!!25 to 34 years"
"B27007_040M","Margin of Error!!Total!!Female!!25 to 34 years"
"B27007_041E","Estimate!!Total!!Female!!25 to 34 years!!With Medicaid/means-tested public coverage"
"B27007_041M","Margin of Error!!Total!!Female!!25 to 34 years!!With Medicaid/means-tested public coverage"
"B27007_042E","Estimate!!Total!!Female!!25 to 34 years!!No Medicaid/means-tested public coverage"
"B27007_042M","Margin of Error!!Total!!Female!!25 to 34 years!!No Medicaid/means-tested public coverage"
"B27007_043E","Estimate!!Total!!Female!!35 to 44 years"
"B27007_043M","Margin of Error!!Total!!Female!!35 to 44 years"
"B27007_044E","Estimate!!Total!!Female!!35 to 44 years!!With Medicaid/means-tested public coverage"
"B27007_044M","Margin of Error!!Total!!Female!!35 to 44 years!!With Medicaid/means-tested public coverage"
"B27007_045E","Estimate!!Total!!Female!!35 to 44 years!!No Medicaid/means-tested public coverage"
"B27007_045M","Margin of Error!!Total!!Female!!35 to 44 years!!No Medicaid/means-tested public coverage"
"B27007_046E","Estimate!!Total!!Female!!45 to 54 years"
"B27007_046M","Margin of Error!!Total!!Female!!45 to 54 years"
"B27007_047E","Estimate!!Total!!Female!!45 to 54 years!!With Medicaid/means-tested public coverage"
"B27007_047M","Margin of Error!!Total!!Female!!45 to 54 years!!With Medicaid/means-tested public coverage"
"B27007_048E","Estimate!!Total!!Female!!45 to 54 years!!No Medicaid/means-tested public coverage"
"B27007_048M","Margin of Error!!Total!!Female!!45 to 54 years!!No Medicaid/means-tested public coverage"
"B27007_049E","Estimate!!Total!!Female!!55 to 64 years"
"B27007_049M","Margin of Error!!Total!!Female!!55 to 64 years"
"B27007_050E","Estimate!!Total!!Female!!55 to 64 years!!With Medicaid/means-tested public coverage"
"B27007_050M","Margin of Error!!Total!!Female!!55 to 64 years!!With Medicaid/means-tested public coverage"
"B27007_051E","Estimate!!Total!!Female!!55 to 64 years!!No Medicaid/means-tested public coverage"
"B27007_051M","Margin of Error!!Total!!Female!!55 to 64 years!!No Medicaid/means-tested public coverage"
"B27007_052E","Estimate!!Total!!Female!!65 to 74 years"
"B27007_052M","Margin of Error!!Total!!Female!!65 to 74 years"
"B27007_053E","Estimate!!Total!!Female!!65 to 74 years!!With Medicaid/means-tested public coverage"
"B27007_053M","Margin of Error!!Total!!Female!!65 to 74 years!!With Medicaid/means-tested public coverage"
"B27007_054E","Estimate!!Total!!Female!!65 to 74 years!!No Medicaid/means-tested public coverage"
"B27007_054M","Margin of Error!!Total!!Female!!65 to 74 years!!No Medicaid/means-tested public coverage"
"B27007_055E","Estimate!!Total!!Female!!75 years and over"
"B27007_055M","Margin of Error!!Total!!Female!!75 years and over"
"B27007_056E","Estimate!!Total!!Female!!75 years and over!!With Medicaid/means-tested public coverage"
"B27007_056M","Margin of Error!!Total!!Female!!75 years and over!!With Medicaid/means-tested public coverage"
"B27007_057E","Estimate!!Total!!Female!!75 years and over!!No Medicaid/means-tested public coverage"
"B27007_057M","Margin of Error!!Total!!Female!!75 years and over!!No Medicaid/means-tested public coverage"
