"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","25,253","±879"
"    Less than 10.0 percent","711","±204"
"    10.0 to 14.9 percent","1,568","±311"
"    15.0 to 19.9 percent","2,867","±479"
"    20.0 to 24.9 percent","2,696","±406"
"    25.0 to 29.9 percent","2,110","±416"
"    30.0 to 34.9 percent","1,952","±447"
"    35.0 to 39.9 percent","1,313","±319"
"    40.0 to 49.9 percent","2,194","±486"
"    50.0 percent or more","7,962","±727"
"    Not computed","1,880","±403"
