"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","25,221","±844"
"    Less than 10.0 percent","819","±237"
"    10.0 to 14.9 percent","1,309","±245"
"    15.0 to 19.9 percent","2,491","±378"
"    20.0 to 24.9 percent","2,404","±385"
"    25.0 to 29.9 percent","2,002","±309"
"    30.0 to 34.9 percent","1,937","±311"
"    35.0 to 39.9 percent","1,601","±357"
"    40.0 to 49.9 percent","1,901","±385"
"    50.0 percent or more","8,609","±601"
"    Not computed","2,148","±370"
