"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","26,315","±871"
"    Less than 10.0 percent","718","±226"
"    10.0 to 14.9 percent","1,724","±316"
"    15.0 to 19.9 percent","2,993","±460"
"    20.0 to 24.9 percent","2,444","±404"
"    25.0 to 29.9 percent","2,123","±377"
"    30.0 to 34.9 percent","1,921","±494"
"    35.0 to 39.9 percent","1,351","±311"
"    40.0 to 49.9 percent","2,338","±467"
"    50.0 percent or more","8,609","±769"
"    Not computed","2,094","±452"
