"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","25,106","±772"
"    Less than 10.0 percent","655","±190"
"    10.0 to 14.9 percent","1,549","±283"
"    15.0 to 19.9 percent","2,455","±326"
"    20.0 to 24.9 percent","2,410","±366"
"    25.0 to 29.9 percent","2,083","±312"
"    30.0 to 34.9 percent","1,817","±317"
"    35.0 to 39.9 percent","1,658","±318"
"    40.0 to 49.9 percent","1,841","±270"
"    50.0 percent or more","8,567","±570"
"    Not computed","2,071","±335"
