"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","24,827","±735"
"    Less than 10.0 percent","510","±162"
"    10.0 to 14.9 percent","1,237","±264"
"    15.0 to 19.9 percent","1,858","±245"
"    20.0 to 24.9 percent","2,300","±302"
"    25.0 to 29.9 percent","1,916","±283"
"    30.0 to 34.9 percent","2,162","±361"
"    35.0 to 39.9 percent","1,214","±232"
"    40.0 to 49.9 percent","1,738","±332"
"    50.0 percent or more","10,037","±599"
"    Not computed","1,855","±287"
