"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","24,686","±658"
"    Less than 10.0 percent","540","±172"
"    10.0 to 14.9 percent","1,322","±234"
"    15.0 to 19.9 percent","2,007","±260"
"    20.0 to 24.9 percent","2,334","±272"
"    25.0 to 29.9 percent","2,018","±337"
"    30.0 to 34.9 percent","2,090","±370"
"    35.0 to 39.9 percent","1,241","±279"
"    40.0 to 49.9 percent","1,665","±313"
"    50.0 percent or more","9,611","±552"
"    Not computed","1,858","±298"
