"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","24,806","±722"
"    Less than 10.0 percent","641","±197"
"    10.0 to 14.9 percent","1,315","±239"
"    15.0 to 19.9 percent","2,210","±329"
"    20.0 to 24.9 percent","2,313","±327"
"    25.0 to 29.9 percent","2,143","±293"
"    30.0 to 34.9 percent","1,903","±297"
"    35.0 to 39.9 percent","1,509","±276"
"    40.0 to 49.9 percent","2,010","±332"
"    50.0 percent or more","8,704","±591"
"    Not computed","2,058","±320"
