"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","24,518","±844"
"    Less than 10.0 percent","634","±175"
"    10.0 to 14.9 percent","1,426","±244"
"    15.0 to 19.9 percent","2,519","±312"
"    20.0 to 24.9 percent","2,518","±331"
"    25.0 to 29.9 percent","1,934","±305"
"    30.0 to 34.9 percent","2,055","±357"
"    35.0 to 39.9 percent","1,370","±315"
"    40.0 to 49.9 percent","1,980","±340"
"    50.0 percent or more","8,216","±557"
"    Not computed","1,866","±340"
